Team Name,Group Letter,Player 1,Player 2,Player 3,Player 4,Player 5
MALPHITE MENTAL,A,Master Udway,SANTIx9,HarrisonTT,FIGHTMEHNOW,Sumaita
JR and 4 Wards,A,Orenomnom,mat2u,KOREA KOREND,300lb Plumber,runner90
Weezer,A,Arcana Prince,TradeHearts,Godrick,Alpha Mystogan,MicrowaveMyPiss
All Braum No Brains,A,BossSax,Disasterjjj,GoldenEevee,Gotago,Pizza Caster
HP GAMING,B,hpgamer7,saywho,Rhaastakhan,T1 Saker,Tileblock
Operation Ape Carry,B,op2001,CrazyApe43,dhgpwaqkm,SENORITA,togne bologne
LesVerts,B,Mach 27,WsPhoenix411,Bixzy,OPEN BOT,PandaPeanut123
10 IQ TEAM,B,Kermalicious,Colma25,LukeRTG,9 IQ PLAYER,Sir Random Guy
Puppy Punters,C,S0Sparky,bcypher36,KÃ¬lluÃ,Leancuisine13,conjax pineapple
The Kid Cuisine Penguins,C,BigLincolnn,Harambae84,flipperthebrick,Raide0n,SpyChicken
99 cent OnlyFans,C,W3AKSIDE,Uninam,ximmykun,Swordpoint,Nelly4L
Just Ban Her Already,C,camper on duty,Swagger42069,ArchMag342,ssneak,Rizzikika
When You See It,D,Tank2020,Sur3MrNight,TheOldGodCthulhu,GGs XD,MrChikn
Ibusakis Fan Club,D,Neurons,AvÃ«r,GhettoRobin,Renfis,Ibusaki
Lulus Lemons,D,Standard Fox,Colorless Jin,festoonearl,Ardhanari,Qwerky
Low Diff,D,Dinkisbuhl,Dufil,AÃ¼tumn,thedynamict,Trogbog